#{"t_start": 1700864018.2329156, "env_id": "QuadrotorPlusHoverEnv-v0"}
r,l,t
-20.757779,14,13.674156
-35.645841,12,13.699123
-18.885742,16,13.75764
-12.71535,13,13.782301
-25.202039,11,13.81107
-37.776788,14,13.867231
-12.601196,17,13.905116
-25.067053,12,13.927394
-31.857444,12,13.952041
-21.144742,14,13.989018
-27.105038,11,14.009937
-11.355502,13,14.055815
-42.212267,9,14.076545
-30.761695,10,14.094632
-32.157055,11,14.121479
-22.421558,13,14.147331
-42.102106,14,14.172846
0.622707,18,14.22953
-25.065374,11,14.259967
-3.658743,13,14.28744
-8.584541,16,14.318084
-10.850794,16,14.364718
-41.097616,15,14.392856
-39.900587,12,14.431214
-22.010883,14,14.459636
-28.23771,11,14.482184
-44.244604,12,14.503901
-48.371843,11,14.53477
-53.831696,16,14.586595
-1.398478,13,14.609502
-23.328554,12,14.635153
-25.073069,11,14.664602
-28.457565,14,14.692619
-41.627771,10,14.710675
-35.916196,12,14.752279
-38.507385,11,14.772662
-32.578029,13,14.804028
-32.821802,17,14.837077
-34.058881,14,14.869405
-13.821385,14,14.916385
-38.279844,15,14.952467
-31.535471,11,14.97284
-45.832736,16,15.004256
-37.890736,13,15.029303
-25.394073,15,15.080357
-41.14999,16,15.121931
-33.630837,10,15.141315
-33.209952,11,15.163465
-25.93497,20,15.206568
-39.129398,11,15.2443
-10.760339,12,15.26713
-29.203952,16,15.309314
-30.105631,9,15.328285
-11.310719,17,15.360957
-25.424674,16,15.405493
-30.602023,16,15.434766
-52.843107,11,15.473504
-4.96372,14,15.500187
-10.274604,15,15.528244
-8.000697,15,15.556107
-30.087672,10,15.600207
-28.225037,11,15.627961
-32.174186,17,15.66207
-24.857556,18,15.722142
-31.480062,15,15.748557
-31.597809,14,15.778664
-48.75812,15,15.80845
-48.249291,13,15.834998
-17.612506,15,15.888266
-26.760287,17,15.926774
-31.570917,11,15.946983
-20.596357,14,15.973735
2.943595,15,16.002165
-20.102916,15,16.056829
-37.682229,9,16.073598
-18.52399,15,16.109273
-32.604716,10,16.129596
-13.636629,13,16.153408
-31.990611,13,16.186496
-20.52035,11,16.22227
-37.955911,14,16.258042
-19.974967,11,16.27757
-19.040639,12,16.301382
-32.872432,14,16.334154
-44.953438,17,16.383683
-32.782902,10,16.402582
-30.732564,13,16.437847
-39.30645,9,16.459506
-29.642523,12,16.481189
-35.132978,9,16.503236
-30.574665,16,16.534383
-44.323803,9,16.551032
-55.747657,15,16.580984
-30.509794,16,17.476493
-14.437878,17,17.511897
-41.83411,14,17.538527
-33.225754,10,17.572672
-41.322822,14,17.603069
-26.56147,13,17.640649
-22.606785,13,17.674562
-42.445325,15,17.717176
-30.403318,12,17.741678
-0.392564,15,17.780185
-13.97461,17,17.815758
-28.764075,11,17.853083
-31.45713,13,17.882052
-19.187489,20,17.925886
3.260464,14,17.960483
-25.878924,13,17.986862
-18.711259,12,18.009665
-25.217608,14,18.039874
-28.498001,13,18.076303
-45.090032,16,18.120828
-18.583503,13,18.158707
-40.17137,9,18.176563
-28.794119,14,18.212793
-25.520085,11,18.25608
-57.518556,19,18.309353
-31.851702,14,18.339449
-14.215027,16,18.373075
-47.100752,10,18.392456
-33.017709,13,18.429552
-26.345486,15,18.477007
-16.574183,11,18.500691
-33.43658,13,18.525804
-21.04686,14,18.559848
-27.318815,13,18.588788
-10.872064,13,18.633534
-25.294694,19,18.676436
-41.021062,15,18.707397
-11.918623,13,18.731719
-18.417491,18,18.77076
-31.694713,15,18.823307
-30.308295,12,18.853451
-6.023892,15,18.883226
-36.954599,10,18.902205
3.753403,13,18.952266
-29.973666,16,18.986155
-42.613196,15,19.015433
-19.732885,16,19.069944
-46.548499,17,19.108809
-31.524164,16,19.139985
32.661374,20,19.176888
-40.268928,13,19.227272
-12.992117,15,19.254823
-45.23475,13,19.288601
-33.433236,13,19.314849
-28.186408,12,19.343542
-9.679344,14,19.369565
-21.623474,15,19.4167
-29.375967,11,19.450261
-11.771977,14,19.480028
-43.681679,16,19.511925
-39.409638,15,19.539744
-25.904931,15,19.582097
-43.459087,17,19.637126
-15.135711,11,19.661949
-13.782763,12,19.696159
-30.303782,10,19.715789
-35.46974,13,19.749388
